City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,City Country,City Date
alugan,12.22,125.48,90.75,54,91,8.21,PH,1567658756
maputo,-25.97,32.57,68.0,77,75,13.87,MZ,1567658757
aden,12.79,45.03,92.91,50,17,9.95,YE,1567658490
arman,59.7,150.17,53.13,92,100,5.39,RU,1567658757
valdemarpils,57.37,22.59,55.4,87,0,6.93,LV,1567658757
portoviejo,-1.05,-80.45,68.0,82,40,9.17,EC,1567658635
saint simons,31.14,-81.39,84.2,88,75,16.11,US,1567658758
winnemucca,40.97,-117.74,66.2,82,90,9.17,US,1567658758
puerto baquerizo moreno,-0.9,-89.6,68.61,93,30,7.96,EC,1567658599
maceio,-9.67,-35.74,71.6,94,75,3.36,BR,1567658595
hambantota,6.12,81.12,84.2,89,40,11.41,LK,1567658495
qaqortoq,60.72,-46.03,41.0,57,34,2.24,GL,1567658470
saint-augustin,45.63,-73.98,60.8,82,75,3.36,CA,1567658482
buchanan,5.88,-10.05,77.0,94,75,9.04,LR,1567658759
finschhafen,-6.6,147.85,64.29,99,100,2.82,PG,1567658759
lata,30.78,78.62,51.33,89,61,7.18,IN,1567658517
tuatapere,-46.13,167.69,52.0,76,0,7.0,NZ,1567658546
alyangula,-13.85,136.42,86.0,40,0,9.17,AU,1567658760
chumikan,54.72,135.31,64.83,64,27,5.79,RU,1567658760
imbituba,-28.24,-48.67,57.2,62,75,9.17,BR,1567658558
meulaboh,4.14,96.13,83.01,79,76,11.07,ID,1567658557
yima,34.75,111.87,80.85,33,11,8.68,CN,1567658761
skibbereen,51.55,-9.27,48.2,87,20,8.05,IE,1567658761
inverell,-29.78,151.11,79.0,15,0,1.01,AU,1567658762
vila do maio,15.13,-23.22,78.8,83,20,11.41,CV,1567658762
port keats,-14.25,129.55,79.59,67,40,14.63,AU,1567658762
marienburg,52.12,9.98,57.2,93,20,3.36,DE,1567658608
nuuk,64.17,-51.74,41.0,93,100,33.33,GL,1567658471
olinda,-37.84,145.39,70.0,42,22,12.75,AU,1567658588
nueva loja,0.08,-76.88,68.43,98,37,2.37,EC,1567658586
virginia beach,36.85,-75.98,80.6,83,75,4.7,US,1567658114
ubinskoye,55.31,79.68,57.45,64,24,4.27,RU,1567658763
richards bay,-28.77,32.06,69.87,71,71,11.39,ZA,1567658391
kununurra,-15.77,128.74,91.4,29,0,9.17,AU,1567658764
makat,47.65,53.35,65.19,43,0,10.27,KZ,1567658764
metro,-5.11,105.31,91.29,41,0,6.15,ID,1567658764
dolores,-33.53,-58.22,39.0,70,0,4.0,UY,1567658765
tilichiki,60.47,166.1,55.11,62,53,4.63,RU,1567658464
faya,18.39,42.45,68.0,34,0,4.65,SA,1567658516
canoinhas,-26.18,-50.4,51.69,94,100,4.41,BR,1567658765
denpasar,-8.65,115.22,82.4,74,20,12.75,ID,1567658523
barcelos,-0.97,-62.93,76.53,79,88,1.54,BR,1567658495
moose factory,51.26,-80.61,46.4,93,90,8.05,CA,1567658766
manicore,-5.81,-61.3,77.79,63,75,0.69,BR,1567658766
plettenberg bay,-34.05,23.37,54.21,84,100,5.91,ZA,1567658766
marrakesh,31.63,-7.99,66.2,77,0,8.05,MA,1567658600
malko tarnovo,41.98,27.52,64.4,82,0,11.41,TR,1567658767
kuragino,53.89,92.68,58.89,67,82,1.41,RU,1567658767
havre,48.55,-109.68,73.4,31,1,13.87,US,1567658767
san ramon de la nueva oran,-23.13,-64.33,52.77,66,89,1.81,AR,1567658767
santa isabel,32.63,-115.58,95.0,30,1,9.17,MX,1567658768
kodinsk,58.6,99.18,54.21,85,98,5.46,RU,1567658768
shepsi,44.04,39.15,74.01,70,57,1.99,RU,1567658769
energetik,51.74,58.8,54.75,69,47,11.39,RU,1567658769
dire,9.18,38.92,59.0,87,75,4.7,ET,1567658769
surt,31.21,16.59,78.15,72,36,13.56,LY,1567658770
finnsnes,69.23,17.98,50.0,93,75,12.75,NO,1567658770
dillon,45.22,-112.64,69.8,19,1,6.93,US,1567658637
tinguindin,19.75,-102.48,60.33,94,100,1.61,MX,1567658771
cockburn town,21.46,-71.14,83.37,75,24,19.01,TC,1567658343
sola,-3.17,33.8,75.63,42,41,7.4,TZ,1567658532
la paz,24.15,-110.32,84.2,51,20,8.05,MX,1567658771
novorzhev,57.03,29.33,57.99,85,22,6.22,RU,1567658771
ternate,14.29,120.72,89.01,70,40,20.8,PH,1567658772
nsanje,-16.92,35.26,72.57,52,0,3.56,MZ,1567658772
eyl,7.98,49.82,86.07,44,15,29.71,SO,1567658494
sibu,2.29,111.83,91.4,59,75,2.24,MY,1567658354
apozol,21.02,-102.82,66.99,80,100,4.23,MX,1567658772
ban pong,13.82,99.87,86.61,65,96,17.07,TH,1567658773
vanavara,60.35,102.28,51.69,83,78,7.16,RU,1567658773
kysyl-syr,63.9,122.77,52.77,84,100,3.49,RU,1567658483
dubai,25.27,55.3,91.4,66,0,5.82,AE,1567658576
bilibino,68.06,166.44,48.09,42,8,5.77,RU,1567658462
xuddur,4.12,43.89,81.03,54,0,19.66,SO,1567658774
vodnyy,63.51,53.41,60.33,67,0,5.06,RU,1567658774
nushki,29.55,66.02,88.41,9,0,5.91,PK,1567658774
cascais,38.7,-9.42,66.0,77,0,12.75,PT,1567658489
xiongzhou,32.34,118.83,80.01,94,90,6.71,CN,1567658531
kralendijk,12.15,-68.27,84.2,74,31,16.11,BQ,1567658775
kroya,-6.5,108.06,100.47,16,0,8.43,ID,1567658775
saint-pierre,48.95,4.24,53.6,93,0,6.93,FR,1567658467
marzuq,14.4,46.47,86.43,24,3,1.74,YE,1567658388
curaca,-8.99,-39.91,69.33,77,22,12.24,BR,1567658775
haines junction,60.75,-137.51,39.81,79,17,3.31,CA,1567658518
pontes e lacerda,-15.23,-59.33,78.33,47,9,3.65,BR,1567658558
omboue,-1.57,9.26,74.91,85,90,6.76,GA,1567658519
vysotsk,60.63,28.57,59.0,93,90,2.24,RU,1567658776
varnamo,57.19,14.04,57.2,100,54,11.41,SE,1567658777
comodoro rivadavia,-45.87,-67.48,32.0,53,0,3.36,AR,1567658777
hobyo,5.35,48.53,86.25,52,67,24.09,SO,1567658569
namwala,-15.75,26.45,65.73,39,0,4.79,ZM,1567658777
toba,34.47,136.83,80.6,78,75,13.87,JP,1567658777
minab,27.15,57.07,89.6,75,20,2.24,IR,1567658778
hami,42.84,93.51,92.37,11,40,3.42,CN,1567658778
lamtah,35.67,10.88,75.99,83,0,5.82,TN,1567658779
khvastovichi,53.47,35.09,57.2,93,90,6.71,RU,1567658779
naica,27.86,-105.49,70.95,62,100,14.83,MX,1567658779
methana,37.58,23.39,78.01,60,0,8.05,GR,1567658780
ust-kulom,61.69,53.69,61.05,67,44,3.78,RU,1567658780
sabya,17.15,42.62,89.6,79,20,4.7,SA,1567658780
sitka,37.17,-99.65,73.99,57,0,10.0,US,1567658462
jumla,29.28,82.18,66.81,68,92,5.03,NP,1567658527
morgan city,29.7,-91.21,84.0,100,1,0.76,US,1567658668
yura,33.96,135.12,87.8,66,75,12.75,JP,1567658781
morro bay,35.37,-120.85,69.01,100,90,3.36,US,1567658781
strezhevoy,60.73,77.6,53.6,93,0,2.24,RU,1567658504
bathsheba,13.22,-59.52,80.6,83,20,10.29,BB,1567658491
kantang,7.42,99.52,89.6,66,20,4.7,TH,1567658782
aanekoski,62.6,25.73,46.99,100,75,2.24,FI,1567658782
valle de allende,26.94,-105.39,61.05,92,99,6.22,MX,1567658782
camalu,30.85,-116.07,70.41,85,38,5.48,MX,1567658782
leiyang,26.42,112.85,89.13,51,44,4.59,CN,1567658783
kiunga,-6.12,141.3,79.59,85,96,1.5,PG,1567658783
jingdezhen,29.29,117.2,89.49,53,59,4.16,CN,1567658783
yumen,40.29,97.04,90.21,14,0,14.41,CN,1567658567
severobaykalsk,55.65,109.32,48.63,87,100,2.04,RU,1567658784
minas,-34.38,-55.24,46.4,82,75,14.99,UY,1567658784
guerrero negro,27.97,-114.04,72.03,85,7,7.76,MX,1567658472
xichang,27.88,102.25,82.0,57,79,3.4,CN,1567658784
piacabucu,-10.41,-36.43,72.39,84,0,6.38,BR,1567658554
izumo,35.37,132.75,89.6,59,75,6.93,JP,1567658785
gayeri,12.65,0.49,73.83,87,98,7.02,BF,1567658785
bad neuenahr-ahrweiler,50.54,7.12,57.0,93,20,5.82,DE,1567658785
ha giang,22.83,104.99,83.91,53,1,2.33,VN,1567658786
koumac,-20.56,164.28,70.23,70,0,21.3,NC,1567658786
sorong,-0.86,131.25,85.71,63,28,8.97,ID,1567658786
porbandar,21.64,69.61,84.2,89,75,9.17,IN,1567658786
greystones,53.14,-6.06,48.0,93,40,12.75,IE,1567658787
puerto ayacucho,5.66,-67.63,77.61,86,90,2.71,CO,1567658787
maxixe,-23.86,35.35,72.39,57,0,5.55,MZ,1567658787
prince rupert,54.32,-130.32,53.6,93,1,2.51,CA,1567658787
deniliquin,-35.53,144.96,64.99,58,55,7.0,AU,1567658788
bartica,6.41,-58.62,75.2,94,20,4.7,GY,1567658788
pulaski,37.05,-80.78,75.2,73,1,4.7,US,1567658788
laiwu,36.19,117.66,81.39,42,0,4.88,CN,1567658788
mandalgovi,45.76,106.27,77.61,27,65,7.43,MN,1567658551
kokopo,-4.34,152.27,72.75,98,100,1.39,PG,1567658789
shieli,44.18,66.74,64.47,41,64,20.8,KZ,1567658608
lianran,24.92,102.47,75.0,88,90,6.71,CN,1567658789
stephanskirchen,47.86,12.18,57.99,82,0,8.05,DE,1567658789
grand gaube,-20.01,57.66,75.99,73,40,12.75,MU,1567658790
hamilton,43.26,-79.87,63.0,87,20,5.82,CA,1567658513
nyurba,63.29,118.35,54.21,66,92,3.76,RU,1567658790
port shepstone,-30.74,30.45,55.83,93,96,7.83,ZA,1567658790
prainha,-1.8,-53.48,74.55,96,83,3.47,BR,1567658790
gambela,8.25,34.59,69.87,90,99,1.92,ET,1567658791
komsomolskiy,67.55,63.78,60.15,56,45,13.58,RU,1567658483
yatou,3.63,9.81,77.0,100,75,3.36,CM,1567658791
rubiataba,-15.16,-49.8,71.49,22,0,5.26,BR,1567658791
hengshan,24.72,121.14,82.4,94,75,5.82,TW,1567658792
harper,30.3,-99.24,81.0,61,1,5.37,US,1567658792
flin flon,54.77,-101.88,48.45,69,94,5.86,CA,1567658599
hovd,63.83,10.7,54.0,100,75,6.93,NO,1567658580
novopokrovka,49.84,36.56,62.6,88,0,2.24,UA,1567658792
labuan,5.28,115.24,91.4,74,75,2.24,BN,1567658793
bonavista,48.65,-53.11,57.0,76,78,1.01,CA,1567658793
imeni poliny osipenko,52.42,136.49,63.57,91,100,4.79,RU,1567658793
nokaneng,-19.66,22.19,69.51,25,0,5.39,BW,1567658793
tarakan,3.3,117.63,86.0,79,40,5.82,ID,1567658794
karuzi,-3.1,30.16,72.75,44,52,3.06,BI,1567658794
dossor,47.52,52.98,65.73,41,0,9.93,KZ,1567658794
serramanna,39.42,8.92,75.2,77,5,4.7,IT,1567658794
jardim,-21.48,-56.15,68.61,54,78,9.26,BR,1567658795
kavieng,-2.57,150.8,82.83,72,88,9.46,PG,1567658497
maebaru,33.55,130.2,95.0,59,75,5.82,JP,1567658795
hereford,52.06,-2.72,53.01,81,19,8.61,GB,1567658795
cabadiangan,10.45,123.98,89.6,59,90,9.17,PH,1567658795
